Mot,Frequence
rien,1120
virement,1008
argent,871
jours,833
fois,808
chez,774
réponse,766
alors,728
bloqué,712
après,672
comme,657
mail,640
demande,598
problème,593
quil,590
dit,589
téléphone,577
aucune,562
nest,541
nai,541
